Data_Run,Bottom_Left,Bottom_Right,Side_Left,Bottom_DSECAL,TOTAL_BOTTOM,Top_Left ,Top_Right ,Side_Right ,Top_DSECAL,TOTAL_TOP,TOP_ERROR,BOTTOM_ERROR,RATIO,RATIO_ERROR,TOTAL_EVENTS,HORNCURRENT,DATATYPE
2,144308.00000000,125408.00000000,115819.00000000,29580.00000000,415115.00000000,62769.00000000,57726.00000000,95374.00000000,23487.00000000,239356.00000000,489.24022729,644.29418746,1.73429954,0.00445105,654471.00000000,FHC,data
2.5,117024.00000000,102495.00000000,94811.00000000,24124.00000000,338454.00000000,51371.00000000,47424.00000000,77632.00000000,19225.00000000,195652.00000000,442.32567188,581.76799499,1.72987754,0.00491289,534106.00000000,FHC,data
3,522107.00000000,452633.00000000,418092.00000000,106467.00000000,1499299.00000000,227173.00000000,212333.00000000,348956.00000000,85222.00000000,873684.00000000,934.71065042,1224.45865590,1.71606553,0.00230972,2372983.00000000,FHC,data
4,557743.00000000,485625.00000000,448630.00000000,115361.00000000,1607359.00000000,244656.00000000,225984.00000000,370066.00000000,91926.00000000,932632.00000000,965.72874038,1267.81662712,1.72346542,0.00224340,2539991.00000000,FHC,data
4.5,583697.00000000,509641.00000000,469604.00000000,120832.00000000,1683774.00000000,257065.00000000,237257.00000000,389286.00000000,95753.00000000,979361.00000000,989.62669730,1297.60317509,1.71925776,0.00218486,2663135.00000000,FHC,data
5,47466.00000000,42034.00000000,44498.00000000,10481.00000000,144479.00000000,28012.00000000,26364.00000000,37791.00000000,8800.00000000,100967.00000000,317.75304877,380.10393316,1.43095269,0.00586964,245446.00000000,RHC,data
6,364346.00000000,323996.00000000,339310.00000000,82757.00000000,1110409.00000000,216098.00000000,201086.00000000,290301.00000000,67511.00000000,774996.00000000,880.33857123,1053.75946022,1.43279320,0.00212078,1885405.00000000,RHC,data
7,259271.00000000,231551.00000000,245434.00000000,59807.00000000,796063.00000000,152961.00000000,143043.00000000,207469.00000000,48043.00000000,551516.00000000,742.64123236,892.22362668,1.44340871,0.00252880,1347579.00000000,RHC,data
8,516672.00000000,450154.00000000,408865.00000000,106105.00000000,1481796.00000000,227109.00000000,209715.00000000,339360.00000000,84793.00000000,860977.00000000,927.88846312,1217.29043371,1.72106340,0.00233223,2342773.00000000,FHC,data
8.5,1357941.00000000,1186749.00000000,1088334.00000000,278067.00000000,3911091.00000000,595175.00000000,552028.00000000,902416.00000000,223565.00000000,2273184.00000000,1507.70819458,1977.64784530,1.72053428,0.00143497,6184275.00000000,FHC,data
9,243151.00000000,217621.00000000,228645.00000000,55394.00000000,744811.00000000,144115.00000000,133861.00000000,193547.00000000,45650.00000000,517173.00000000,719.14741187,863.02433338,1.44015832,0.00260673,1261984.00000000,RHC,data
2,4426029.00000000,3851465.00000000,3723321.00000000,1235907.00000000,13236722.00000000,2077619.00000000,1918467.00000000,3127090.00000000,966648.00000000,8089824.00000000,2844.26159135,3638.23061391,1.63621879,0.00073020,21326546.00000000,FHC,mc
2.5,4409646.00000000,3837331.00000000,3706738.00000000,1233109.00000000,13186824.00000000,2071369.00000000,1918050.00000000,3116713.00000000,964743.00000000,8070875.00000000,2840.92854539,3631.36668487,1.63387786,0.00073021,21257699.00000000,FHC,mc
3,8084716.00000000,7037826.00000000,6796090.00000000,2259956.00000000,24178588.00000000,3800012.00000000,3512810.00000000,5473801.00000000,1767586.00000000,14554209.00000000,3814.99790301,4917.17276491,1.66127805,0.00055115,38732797.00000000,FHC,mc
4,9503654.00000000,8275994.00000000,7994101.00000000,2655154.00000000,28428903.00000000,4466047.00000000,4125545.00000000,6433626.00000000,2080517.00000000,17105735.00000000,4135.90800188,5331.87612384,1.66195156,0.00050856,45534638.00000000,FHC,mc
4.5,9488865.00000000,8261733.00000000,7969028.00000000,2652804.00000000,28372430.00000000,4455179.00000000,4120489.00000000,6416869.00000000,2074970.00000000,17067507.00000000,4131.28394086,5326.57770055,1.66236522,0.00050923,45439937.00000000,FHC,mc
5,1870457.00000000,1672078.00000000,1847231.00000000,600092.00000000,5989858.00000000,1177093.00000000,1099770.00000000,1536654.00000000,481781.00000000,4295298.00000000,2072.51007235,2447.41864012,1.39451512,0.00088171,10285156.00000000,RHC,mc
6,3007506.00000000,2685073.00000000,2959572.00000000,963737.00000000,9615888.00000000,1888264.00000000,1766116.00000000,2464300.00000000,774184.00000000,6892864.00000000,2625.42644155,3100.94953200,1.39504972,0.00069623,16508752.00000000,RHC,mc
7,3014969.00000000,2696216.00000000,2979083.00000000,967909.00000000,9658177.00000000,1897926.00000000,1770562.00000000,2474854.00000000,776450.00000000,6919792.00000000,2630.54975243,3107.76076943,1.39573227,0.00069514,16577969.00000000,RHC,mc
8,9463158.00000000,8242982.00000000,7959975.00000000,2655170.00000000,28321285.00000000,4449422.00000000,4117126.00000000,6413829.00000000,2075324.00000000,17055701.00000000,4129.85484006,5321.77461003,1.66051721,0.00050894,45376986.00000000,FHC,mc
8.5,11719609.00000000,10203448.00000000,9862109.00000000,3287910.00000000,35073076.00000000,5516364.00000000,5104501.00000000,7934477.00000000,2573219.00000000,21128561.00000000,4596.58144712,5922.25261197,1.65998413,0.00045715,56201637.00000000,FHC,mc
9,2221408.00000000,1981990.00000000,2192395.00000000,711060.00000000,7106853.00000000,1396277.00000000,1304148.00000000,1820692.00000000,571696.00000000,5092813.00000000,2256.72616859,2665.86815128,1.39546710,0.00081017,12199666.00000000,RHC,mc
